Name,Department,Quality Rating,Number of Ratings,Would Take Again,Difficulty
Veronica Laos,Chemistry,0.0,0 ratings,N/A,0
Ralph Armbruster-Sandoval,Chicano Studies,4.1,71 ratings,90%,2.4
Dolores Casillas,Chicano Studies,4.3,36 ratings,76%,2.3
Micaela Diaz Sanchez,Chicano Studies,2.9,20 ratings,40%,2.5
Felicia Lopez,Chicano Studies,4.8,11 ratings,91%,3.4
Ana Barba,Chicano Studies,5.0,4 ratings,100%,2.8
Roque Ramirez,Chicano Studies,3.8,4 ratings,N/A,3.3
Frank Ochoa,Chicano Studies,3.0,4 ratings,50%,2.5
Manual Callahan,Chicano Studies,4.0,1 ratings,N/A,2
Aida Hurtado,Chicano Studies,3.1,9 ratings,45%,1.7
Vickie Vertiz,Chicano Studies,4.1,8 ratings,75%,2
Andrea Medina,Chicano Studies,4.0,1 ratings,100%,3
Natalia Villanueva,Chicano Studies,0.0,0 ratings,N/A,0
Silvia Rodriguez Vega,Chicano Studies,0.0,0 ratings,N/A,0
Mario Garcia,Chicano Studies,3.8,82 ratings,79%,2.3
Leah Fernandez,Chicano Studies,2.2,20 ratings,25%,3.9
Sebastian Ferrada,Chicano Studies,5.0,1 ratings,N/A,3
Celia Rodriguez,Chicano Studies,5.0,1 ratings,100%,2
Edwina Barvosa,Chicano Studies,2.5,31 ratings,23%,3.6
Marc Garcia-Martinez,Chicano Studies,3.7,15 ratings,80%,2.6
Horacio Roque Ramirez,Chicano Studies,3.2,10 ratings,N/A,3.5
Miroslava Chavez-Garcia,Chicano Studies,2.8,10 ratings,67%,3
Shannon Schumacher,Chicano Studies,2.0,1 ratings,N/A,5
Marina Chavez,Chicano Studies,4.0,1 ratings,100%,2
Adanari Zarate,Chicano Studies,5.0,1 ratings,100%,2
Teresa Figueroa,Chicano Studies,2.8,43 ratings,38%,2.4
Graciela Limon,Chicano Studies,4.6,6 ratings,N/A,1.3
Giovanni Batz,Chicano Studies,5.0,3 ratings,100%,1.7
Juanita García,Chicano Studies,0.0,0 ratings,N/A,0
Ralph Gallucci,Classics,4.1,243 ratings,75%,1.9
Francis Dunn,Classics,3.7,138 ratings,56%,2.6
Apostolos Athanassakis,Classics,4.4,71 ratings,N/A,1.6
Andrea Fishman,Classics,2.6,40 ratings,45%,3.1
Sara Lindheim,Classics,4.1,30 ratings,34%,2.9
Stan Rauh,Classics,2.2,18 ratings,N/A,3.7
Noah Segal,Classics,4.3,14 ratings,82%,2.6
Thomas Moody,Classics,4.6,7 ratings,100%,1.4
Ronan Dunphy,Classics,4.8,3 ratings,N/A,2.3
Frances Hickson-Hahn,Classics,4.8,2 ratings,N/A,3.5
Helen Morales,Classics,4.1,64 ratings,89%,2.2
Robert Morstein-Marx,Classics,4.6,25 ratings,100%,2.2
Emily Chow-Kambitsch,Classics,1.6,5 ratings,0%,4.6
James Conrad,Classics,3.0,4 ratings,N/A,3.8
Aaron Pelttari,Classics,3.3,3 ratings,N/A,2
Emilio Capettini,Classics,3.0,3 ratings,67%,3
Laura Behymer,Classics,4.8,2 ratings,N/A,3
Seth Jeppesen,Classics,5.0,1 ratings,N/A,3
Glenn Patten,Classics,3.0,21 ratings,100%,3.5
Jo Ann Shelton,Classics,3.9,11 ratings,N/A,2.5
Chad Schroeder,Classics,5.0,3 ratings,N/A,1.7
H L Morales,Classics,3.3,3 ratings,100%,3
Olga Faccani,Classics,5.0,1 ratings,100%,3
Carly Barnicle,Classics,0.0,0 ratings,N/A,0
Amit Shilo,Classics,3.1,41 ratings,58%,2.6
Dorota Dutsch,Classics,4.3,20 ratings,60%,2.8
Richard Rader,Classics,4.8,19 ratings,100%,1.8
Jeff Souther,Classics,5.0,15 ratings,100%,3.3
Brett Collins,Classics,4.4,7 ratings,100%,1.6
Josh Smith,Classics,4.8,6 ratings,100%,2.5
Angela Holzmeister,Classics,5.0,3 ratings,N/A,1.7
Marshall Evans,Classics,5.0,1 ratings,100%,3
Brice Erickson,Classics,4.4,176 ratings,88%,2.7
Robert Renehan,Classics,5.0,11 ratings,N/A,2.3
Rose MacLean,Classics,5.0,5 ratings,100%,2
Aerynn Dighton,Classics,4.3,4 ratings,100%,3
Alexander Leibowitz,Classics,2.5,1 ratings,N/A,5
Emmanuela Schoinoplokaki,Classics,5.0,1 ratings,100%,1
Julio Vega,Classics,0.0,0 ratings,N/A,0
Dan Lane,Communication,4.9,38 ratings,100%,2.7
Amy Gonzales,Communication,2.6,32 ratings,32%,3.4
Melissa Curtin,Communication,3.2,15 ratings,100%,3.5
Jennifer Kam,Communication,4.3,12 ratings,84%,2.8
Nan Wilkenfeld,Communication,5.0,5 ratings,100%,2.4
Susana Peinado,Communication,5.0,1 ratings,N/A,1
Marko Dragojevic,Communication,4.5,1 ratings,N/A,2
Benjamin Smith,Communication,4.0,1 ratings,0%,4
Alexis Arias,Communication,5.0,1 ratings,100%,2
America Edwards,Communication,1.0,1 ratings,0%,4
Afsoon Hansia,Communication,0.0,0 ratings,N/A,0
Kyungin Kim,Communication,0.0,0 ratings,N/A,0
Dolly Mullin,Communication,4.1,351 ratings,78%,3.5
Walid Afifi,Communication,3.7,51 ratings,68%,3.1
Michael Stohl,Communication,2.6,28 ratings,20%,3.3
Norah Dunbar,Communication,4.0,22 ratings,80%,2.7
Desiree Aldeis,Communication,4.7,21 ratings,90%,2.3
Abdullah Salehuddin,Communication,4.7,14 ratings,93%,2.6
Dana Mastro,Communication,4.8,12 ratings,100%,2.1
Jennifer Gibbs,Communication,4.5,10 ratings,80%,2.7
Ethan Hartsell,Communication,4.5,6 ratings,100%,3.2
Courtney Davis,Communication,3.1,5 ratings,N/A,3.6
Matt Giles,Communication,4.0,4 ratings,75%,2.5
Samantha Coveleski,Communication,3.0,2 ratings,N/A,3
MOLINA ROGERS,Communication,3.5,2 ratings,50%,3
Kim Stoltzfus,Communication,5.0,1 ratings,N/A,2
Diane Morovati,Communication,5.0,1 ratings,N/A,1
Annie Casillas,Communication,5.0,1 ratings,N/A,1
Greg Siegel,Communication,0.0,0 ratings,N/A,0
Miriam Metzger,Communication,3.5,65 ratings,52%,3.5
Rene Weber,Communication,3.4,47 ratings,50%,2.9
Howard Giles,Communication,4.5,21 ratings,100%,2.2
Muniba Saleem,Communication,4.4,17 ratings,83%,2.9
Justice Quick,Communication,4.2,5 ratings,80%,3.4
Chengyu Fang,Communication,2.5,4 ratings,25%,2.5
Alex Aune,Communication,3.7,3 ratings,67%,3.7
Kanu Pandey,Communication,4.0,3 ratings,67%,3
Deborah Torres,Communication,2.0,2 ratings,0%,4
Theresa De Los Santos,Communication,4.0,1 ratings,N/A,4
Gwen Petro,Communication,5.0,1 ratings,100%,1
Sungbin You,Communication,0.0,0 ratings,N/A,0
Andrew Flanagin,Communication,3.6,134 ratings,52%,4
Charles Mullin,Communication,2.5,106 ratings,24%,3.8
James Potter,Communication,2.2,55 ratings,10%,3.7
Andy Merolla,Communication,4.9,53 ratings,97%,2.7
Robin Nabi,Communication,3.6,52 ratings,55%,4
Scott Reid,Communication,3.6,53 ratings,53%,3.6
Tammy Afifi,Communication,4.5,35 ratings,79%,2.9
Cynthia Stohl,Communication,3.9,31 ratings,77%,3.3
Karen Myers,Communication,4.4,30 ratings,77%,2.4
Kristy Hamilton,Communication,4.2,20 ratings,80%,2.8
Renee Houston,Communication,2.8,19 ratings,53%,3.3
Debra Lieberman,Communication,4.3,15 ratings,N/A,2.3
Linda Putnam,Communication,3.9,7 ratings,100%,3.3
Nicole Zamanzadeh,Communication,2.4,5 ratings,40%,3.4
Jesse King,Communication,5.0,5 ratings,100%,2
Avi McClelland-Cohen,Communication,4.0,4 ratings,75%,2.8
Quinten Bernhold,Communication,4.8,4 ratings,100%,2.5
Ryan Medders,Communication,4.0,2 ratings,N/A,3
Rebekah Pure,Communication,5.0,1 ratings,N/A,3
Cynthia McLeod,Communication,5.0,1 ratings,100%,3
Kevin Do,Communication,5.0,1 ratings,100%,3
Mohemmad Hansia,Communication,0.0,0 ratings,N/A,0
Laura Jansma,Communication,3.8,60 ratings,34%,2.9
Ronald Rice,Communication,4.5,21 ratings,86%,3
David Seibold,Communication,3.6,19 ratings,N/A,2.9
Nikki Truscelli,Communication,4.7,18 ratings,95%,2.4
Joe Walther,Communication,4.0,15 ratings,67%,3.3
Christina Kistler,Communication,4.7,10 ratings,100%,2.2
Young Ji Kim,Communication,4.0,9 ratings,67%,3.2
Chantel Haughton,Communication,3.0,1 ratings,0%,4
Callie Parrish,Communication,0.0,0 ratings,N/A,0
Yibei Chen,Communication,0.0,0 ratings,N/A,0
Reem Taha,Comparative Literature & Lang,0.0,0 ratings,N/A,0
David Vivian,Comparative Literature & Lang,0.0,0 ratings,N/A,0
Mike Costanzo,Computer Science,3.7,79 ratings,40%,2.5
Kevin Burk,Computer Science,3.0,64 ratings,54%,4.5
Yuan-Fang Wang,Computer Science,1.9,48 ratings,20%,4
Diana Franklin,Computer Science,3.0,46 ratings,N/A,3.3
Omer Egecioglu,Computer Science,2.5,40 ratings,35%,3.9
Yu Feng,Computer Science,2.5,38 ratings,43%,4.1
Matthew Turk,Computer Science,3.6,13 ratings,N/A,3.2
Ben Hardekopf,Computer Science,4.7,12 ratings,78%,3.6
Prabhanjan Ananth,Computer Science,3.3,10 ratings,60%,4.2
Oscar Ibarra,Computer Science,2.6,9 ratings,N/A,2.8
Harshitha Chidananda Murthy,Computer Science,5.0,1 ratings,100%,5
Murphy Niu,Computer Science,1.0,1 ratings,0%,3
Diba Mirza,Computer Science,4.7,56 ratings,90%,3
Matthew Buoni,Computer Science,4.5,38 ratings,100%,2.7
Amr El Abbadi,Computer Science,4.3,31 ratings,92%,3.1
Cetin Kaya Koc,Computer Science,4.3,26 ratings,89%,2.2
Zeyu Deng,Computer Science,1.3,19 ratings,11%,4.4
Kevin Almeroth,Computer Science,3.5,13 ratings,50%,3.2
Arpit Gupta,Computer Science,2.5,10 ratings,40%,2.8
John Gilbert,Computer Science,3.9,7 ratings,100%,2.3
Andrew Duncan,Computer Science,4.8,4 ratings,100%,2
Yufei Ding,Computer Science,1.8,4 ratings,25%,3.5
Shiyu Chang,Computer Science,4.5,2 ratings,100%,2
Aditya Mohan,Computer Science,0.0,0 ratings,N/A,0
Mehmet Emre,Computer Science,0.0,0 ratings,N/A,0
Massimo Di Pierro,Computer Science,0.0,0 ratings,N/A,0
Yekaterina Kate Kharitonova,Computer Science,2.5,161 ratings,33%,3.6
Phill Conrad,Computer Science,4.6,70 ratings,94%,2
Richert Wang,Computer Science,4.5,55 ratings,86%,3.2
Maryam Majedi,Computer Science,1.8,50 ratings,26%,4.4
Subhash Suri,Computer Science,4.6,26 ratings,89%,2.7
Jonathan Balkind,Computer Science,3.5,24 ratings,75%,3.3
Peter Boyland,Computer Science,1.8,17 ratings,12%,4.6
Elizabeth Belding,Computer Science,3.8,10 ratings,70%,3.6
Misha Sra,Computer Science,3.8,5 ratings,80%,2.4
Zach Sisco,Computer Science,4.3,4 ratings,75%,2.8
Shlomi Steinberg,Computer Science,1.3,3 ratings,0%,5
Janet Kayfetz,Computer Science,2.3,3 ratings,0%,3.7
Theodore Kim,Computer Science,3.8,2 ratings,N/A,5
Omer Acerol,Computer Science,5.0,1 ratings,N/A,2
Gupta Trinabh,Computer Science,0.0,0 ratings,N/A,0
Ziad Matni,Computer Science,4.0,106 ratings,79%,3
Jianwen Su,Computer Science,2.0,30 ratings,39%,3.8
Heather Zheng,Computer Science,2.9,21 ratings,N/A,2.8
Tao Yang,Computer Science,3.0,17 ratings,67%,3.4
Yu-Xiang Wang,Computer Science,2.5,15 ratings,40%,4.4
Jedrzej Kozerawski,Computer Science,3.7,12 ratings,75%,3
Tobias Hollerer,Computer Science,4.6,8 ratings,100%,2.4
Chris Kruegel,Computer Science,4.7,7 ratings,100%,3.4
Zoe Wood,Computer Science,4.0,4 ratings,75%,3.3
William Wang,Computer Science,5.0,2 ratings,100%,3.5
Aaron Dodson,Computer Science,5.0,1 ratings,N/A,1
Anshuman Dash,Computer Science,5.0,1 ratings,100%,3
Scott Chow,Computer Science,5.0,1 ratings,100%,2
Sattya Manna,Computer Science,0.0,0 ratings,N/A,0
Sammy Hajhamid,Computer Science,0.0,0 ratings,N/A,0
Wim Van Dam,Computer Science,2.7,44 ratings,80%,4
Divyakant Agrawal,Computer Science,2.9,38 ratings,37%,3.5
Ambuj Singh,Computer Science,2.5,26 ratings,36%,3.7
Teofilo Gonzalez,Computer Science,2.2,25 ratings,N/A,4.4
Sharon Solis,Computer Science,3.0,23 ratings,53%,3.4
Timothy Sherwood,Computer Science,4.8,21 ratings,100%,2.5
Huijia (Rachel Lin,Computer Science,2.2,21 ratings,24%,4.3
Ben Zhao,Computer Science,3.8,18 ratings,100%,3.7
Chandra Krintz,Computer Science,4.0,18 ratings,80%,3.2
Daniel Lokshtanov,Computer Science,3.7,17 ratings,59%,4.1
Rich Wolski,Computer Science,4.6,16 ratings,75%,4
Peter Cappello,Computer Science,2.4,13 ratings,N/A,2.9
Lingqi Yan,Computer Science,2.7,10 ratings,40%,3.9
Xifeng Yan,Computer Science,3.4,8 ratings,50%,2.4
Stefano Tessaro,Computer Science,5.0,7 ratings,100%,2.6
Bryce Boe,Computer Science,4.3,6 ratings,N/A,3
Tevfik Bultan,Computer Science,2.9,6 ratings,40%,3.7
Trinabh Gupta,Computer Science,1.8,6 ratings,34%,4.2
Giovanni Vigna,Computer Science,3.9,5 ratings,N/A,4.2
Vaishali Surianarayanan,Computer Science,1.6,5 ratings,0%,5
Niklas Griessbaum,Computer Science,4.8,4 ratings,100%,3
Shumo Chu,Computer Science,2.0,4 ratings,0%,3.3
Fred Chong,Computer Science,2.7,3 ratings,N/A,4
Lawton Nichols,Computer Science,5.0,1 ratings,100%,4
Brian Drawert,Computer Science,4.5,1 ratings,N/A,2
Kyle Dewey,Computer Science,4.0,1 ratings,100%,3
Avani Tanna,Computer Science,5.0,1 ratings,100%,1
Daniel Pulley,Criminal Justice,0.0,0 ratings,N/A,0
Inga Me,Design,0.0,0 ratings,N/A,0
Wona Lee,East Asian Languages & Cultures,5.0,10 ratings,100%,2.3
Yukiko Tsuchiya,East Asian Languages & Cultures,5.0,2 ratings,100%,3
Sun Ae Mester,East Asian Languages & Cultures,0.0,0 ratings,N/A,0
Lotus Lee,East Asian Languages & Cultures,0.0,0 ratings,N/A,0
Eunjin Choi,East Asian Languages & Cultures,4.0,5 ratings,60%,2.8
William Chavez,East Asian Languages & Cultures,5.0,5 ratings,100%,2.6
Keita Moore,East Asian Languages & Cultures,5.0,1 ratings,100%,2
Jing Wang,East Asian Languages & Cultures,0.0,0 ratings,N/A,0
Hangping Xu,East Asian Languages & Cultures,5.0,11 ratings,100%,2.8
Winni Ni,East Asian Languages & Cultures,4.3,6 ratings,50%,2.7
Tug Goddard,East Asian Languages & Cultures,1.2,11 ratings,10%,3.3
Kana Pierce,East Asian Languages & Cultures,5.0,10 ratings,100%,2.7
Susan Hwang,East Asian Languages & Cultures,5.0,3 ratings,100%,4
Robert Crouch,Economics,3.0,227 ratings,N/A,3.5
Bob Anderson,Economics,3.5,209 ratings,54%,3.4
Kathy Marshall,Economics,2.5,47 ratings,30%,3.5
Glenn Owen,Economics,3.1,44 ratings,N/A,2.8
Thomas Koch,Economics,2.3,40 ratings,N/A,3.8
Leeann Kryder,Economics,4.3,28 ratings,100%,2.1
Yueyuan Ma,Economics,1.9,22 ratings,28%,4.2
Henning Bohn,Economics,3.4,17 ratings,50%,3.2
Ted Frech,Economics,3.1,16 ratings,43%,3.4
Stephen Leroy,Economics,2.9,14 ratings,100%,3.2
Gonzalo Vazquez-Bare,Economics,2.2,9 ratings,34%,4.2
Ishita Nandi,Economics,4.0,8 ratings,100%,2.6
Heather Royer,Economics,3.9,5 ratings,100%,3.2
R Rodriguez,Economics,3.5,3 ratings,N/A,2.7
Adam Wright,Economics,5.0,2 ratings,N/A,4
Miguel Helleseter,Economics,2.5,2 ratings,N/A,4.5
Spencer Sween,Economics,5.0,2 ratings,100%,3.5
Niklas Hunter,Economics,3.0,1 ratings,N/A,4
David Silver,Economics,2.0,1 ratings,0%,4
Erik Ester,Economics,0.0,0 ratings,N/A,0
Zack Grossman,Economics,2.6,72 ratings,72%,3.6
Miguel Delgado Helleseter,Economics,2.1,54 ratings,12%,4.4
Doug Morgan,Economics,2.1,50 ratings,N/A,4.4
Emanuel Vespa,Economics,2.0,38 ratings,43%,3.9
Olivier Deschenes,Economics,4.1,38 ratings,86%,3.4
Robert Deacon,Economics,3.5,36 ratings,N/A,2.7
Marek Kapicka,Economics,2.5,31 ratings,N/A,3.7
Nick Schneider,Economics,3.8,31 ratings,72%,2.8
Antony Millner,Economics,2.7,16 ratings,44%,4.3
Daniel Lawver,Economics,1.8,12 ratings,N/A,2.8
Jeffrey Dubin,Economics,2.1,4 ratings,N/A,3
Maya Rossin-Slater,Economics,4.8,4 ratings,100%,3.5
Nicole Iannaccone,Economics,5.0,4 ratings,100%,4
Christopher Goodwin,Economics,3.0,3 ratings,N/A,4.3
Jack Erb,Economics,5.0,3 ratings,N/A,2.3
David Davis,Economics,4.0,2 ratings,N/A,1.5
Dennis Clark,Economics,4.0,1 ratings,100%,3
Erik Eyster,Economics,0.0,0 ratings,N/A,0
Jinglan Zhang,Economics,0.0,0 ratings,N/A,0
Javier Birchenall,Economics,2.4,109 ratings,33%,3.7
Henry Sander,Economics,3.6,100 ratings,100%,4
Peter Rupert,Economics,2.8,95 ratings,29%,3.7
Lint Barrage,Economics,2.1,76 ratings,29%,4.5
Cheng-Zhong Qin,Economics,2.5,47 ratings,34%,3.9
Perry Shapiro,Economics,2.1,38 ratings,N/A,3.5
Neeru Mehra,Economics,2.0,37 ratings,N/A,3.8
Charles Stuart,Economics,2.6,32 ratings,50%,3.8
Lanny Ebenstein,Economics,3.5,24 ratings,59%,2.7
Richard Startz,Economics,3.0,19 ratings,57%,3.8
Eileen Sheridan,Economics,3.8,18 ratings,N/A,2.7
Paulina Oliva Vallejo,Economics,2.3,11 ratings,N/A,4.5
Kevin Welding,Economics,5.0,10 ratings,N/A,2.4
Lisa Gray,Economics,3.8,8 ratings,58%,3.4
Miguel Hellester,Economics,2.0,8 ratings,34%,4
Corey White,Economics,5.0,4 ratings,100%,4
Chad Caughell,Economics,4.3,3 ratings,100%,3
Jason Vosburgh,Economics,5.0,2 ratings,N/A,2.5
Stefanie Fischer,Economics,5.0,1 ratings,N/A,4
Edwin Minekime,Economics,0.0,0 ratings,N/A,0
John Hartman,Economics,2.4,150 ratings,31%,3.8
Rich Watson,Economics,3.2,99 ratings,N/A,3.9
Lisa Maass,Economics,4.5,61 ratings,90%,2.3
Ted Bergstrom,Economics,2.0,59 ratings,0%,3.6
Rod Garratt,Economics,4.3,52 ratings,91%,2.9
Donald Loster,Economics,3.6,46 ratings,80%,2.2
Gary Charness,Economics,3.2,40 ratings,100%,3
Doug Steigerwald,Economics,3.0,41 ratings,54%,4.3
Susan Grover,Economics,3.8,32 ratings,66%,3.3
Youssef Benzarti,Economics,4.7,31 ratings,91%,2.5
Huy Nguyen,Economics,4.7,12 ratings,100%,3.6
Peter Kuhn,Economics,3.9,11 ratings,80%,2.6
Julia Lowell,Economics,3.3,11 ratings,43%,3.4
. Fanchon,Economics,1.5,10 ratings,N/A,4.4
William Comanor,Economics,3.8,9 ratings,100%,3.3
Charles Kolstad,Economics,2.6,5 ratings,N/A,3.8
Alan Ebenstein,Economics,3.0,4 ratings,34%,3
James Tener,Economics,0.0,0 ratings,N/A,0
Jason Maier,Economics,0.0,0 ratings,N/A,0
Mitchell Hoffman,Economics,0.0,0 ratings,N/A,0
Cindy Benelli,Economics,2.8,178 ratings,41%,2.9
Jon Sonstelie,Economics,3.4,168 ratings,100%,3.6
Kelly Bedard,Economics,3.0,101 ratings,44%,3.7
Scott Fulkerson,Economics,4.3,62 ratings,83%,4
Ryan Oprea,Economics,4.3,48 ratings,91%,3.5
Philip Babcock,Economics,4.1,41 ratings,N/A,3.5
Alisa Tazhitdinova,Economics,2.4,29 ratings,45%,3.2
Sevgi Yuksel,Economics,2.4,20 ratings,48%,4
Robert Heilmayr,Economics,4.9,16 ratings,100%,2.8
Seth Borgo,Economics,4.3,15 ratings,N/A,2.9
Llad Phillips,Economics,3.4,12 ratings,N/A,2.6
Ignacio Esponda,Economics,4.6,11 ratings,91%,2.6
Robert Lowes,Economics,4.2,8 ratings,N/A,3.5
Clement De Chaisemartin,Economics,4.3,6 ratings,84%,3.7
Julian Neira,Economics,4.8,3 ratings,N/A,2
Harmon C J,Economics,3.5,3 ratings,N/A,3.3
Ruth Morales,Economics,5.0,2 ratings,100%,4
Thomas Zimmerfaust,Economics,5.0,1 ratings,N/A,3
Xhulio Uruci,Economics,2.0,1 ratings,0%,3
SEGUR FUERTES,Economics,0.0,0 ratings,N/A,0
Laura Romo,Education,1.7,7 ratings,0%,3.3
Eva Oxelson,Education,4.5,5 ratings,N/A,1.8
Sabina White,Education,3.0,4 ratings,N/A,2.3
Miles Ashlock,Education,4.5,1 ratings,N/A,3
Charles Bazerman,Education,1.0,1 ratings,N/A,5
Elissa Ross,Education,4.0,1 ratings,100%,1
Marilyn Castro,Education,0.0,0 ratings,N/A,0
Destiny Hoerberg,Education,5.0,1 ratings,100%,2
Yukari Okamoto,Education,0.0,0 ratings,N/A,0
Don Lubach,Education,4.3,44 ratings,84%,1.7
Emma Parker,Education,2.6,18 ratings,45%,2.2
Rebeca Mireles-Rios,Education,4.0,12 ratings,67%,2
Tania Israel,Education,3.5,8 ratings,50%,2
Amy Kyratzis,Education,3.1,8 ratings,67%,1.9
Ty Vernon,Education,5.0,4 ratings,100%,1.5
Mian Wang,Education,3.7,3 ratings,100%,3
Carl Lager,Education,1.5,1 ratings,N/A,4
John Yun,Education,3.5,1 ratings,N/A,3
Matthew Shackley,Education,5.0,1 ratings,100%,3
Amber Moran,Education,0.0,0 ratings,N/A,0
Katie Blackwell,Education,0.0,0 ratings,N/A,0
Jason Raley,Education,4.4,30 ratings,100%,2.4
Judith Green,Education,1.9,9 ratings,100%,2.7
Holly Roose,Education,5.0,7 ratings,100%,1
Jin Sook Lee,Education,4.5,4 ratings,75%,2.7
Lily Maestas,Education,4.5,4 ratings,N/A,1.5
George Singer,Education,3.1,4 ratings,0%,3.3
Diana Arya,Education,5.0,3 ratings,100%,1.3
Mary Brenner,Education,4.0,2 ratings,N/A,3.5
David Holmes,Education,2.0,1 ratings,100%,2
Josh Kuntzman,Education,5.0,1 ratings,N/A,1
Hunter Gehlbach,Education,5.0,1 ratings,100%,2
Ana Romero,Education,0.0,0 ratings,N/A,0
Michael Gerber,Education,0.0,0 ratings,N/A,0
Hui-Ling Malone,Education,0.0,0 ratings,N/A,0
Nicolasa Sandoval,Education,4.7,13 ratings,67%,1.1
Mark Shishim,Education,4.7,11 ratings,75%,2.8
Veronica Fematt,Education,4.0,8 ratings,86%,2.9
Karin Lohwasser,Education,4.2,5 ratings,80%,2.6
Katya Armistead,Education,3.5,4 ratings,75%,1.5
Carol Dixon,Education,4.8,3 ratings,N/A,2
. Gerstenfeld,Education,5.0,2 ratings,100%,1
Tim Dewar,Education,5.0,1 ratings,100%,2
Robert L. Koegel,Education,4.3,25 ratings,100%,2.2
Jason Duque,Education,2.8,18 ratings,39%,2.8
Mavel Marina,Education,1.6,7 ratings,0%,2.4
Mayra Puente,Education,3.8,5 ratings,60%,2.2
Molly Steen,Education,3.9,4 ratings,N/A,2.5
Michael Gottfried,Education,5.0,1 ratings,100%,2
Avery Voos,Education,4.0,1 ratings,0%,3
Stephanie Arguera,Education,5.0,1 ratings,100%,2
Nina Miolane,Electrical & Comp. Engineering,4.0,8 ratings,88%,3.4
Upamanyu Madhow,Electrical & Comp. Engineering,2.2,5 ratings,40%,4.6
Jon Schuller,Electrical & Comp. Engineering,3.5,2 ratings,50%,4
Justin Pearson,Electrical & Comp. Engineering,4.9,14 ratings,N/A,2.6
Clint Schow,Electrical & Comp. Engineering,2.9,14 ratings,50%,4.5
Christos Thrampoulidis,Electrical & Comp. Engineering,4.1,10 ratings,80%,2.9
Forrest Brewer,Electrical & Comp. Engineering,3.2,6 ratings,50%,3.3
Galan Moody,Electrical & Comp. Engineering,5.0,4 ratings,100%,2
Jason Marden,Electrical & Comp. Engineering,3.7,3 ratings,67%,4
Haewon Jeong,Electrical & Comp. Engineering,0.0,0 ratings,N/A,0
Yao Qin,Electrical & Comp. Engineering,0.0,0 ratings,N/A,0
Loai Salem,Electrical & Comp. Engineering,3.8,10 ratings,70%,2.9
Dmitri Strukov,Electrical & Comp. Engineering,4.1,7 ratings,100%,3
Julian Maravilla,Electrical & Comp. Engineering,2.0,5 ratings,20%,3.2
Michael Melliar-Smith,Electrical & Comp. Engineering,4.2,3 ratings,N/A,1
B. S. Manjunath,Electrical & Comp. Engineering,4.0,3 ratings,N/A,3.3
Bongjin Kim,Electrical & Comp. Engineering,3.0,2 ratings,50%,2.5
John Bowers,Electrical & Comp. Engineering,0.0,0 ratings,N/A,0
Zheng Zhang,Electrical & Comp. Engineering,3.8,12 ratings,59%,3.4
Qian Yu,Electrical & Comp. Engineering,1.5,2 ratings,0%,4
Tim Cheng,Electrical & Comp. Engineering,0.0,0 ratings,N/A,0
Kerem Camsari,Electrical & Comp. Engineering,0.0,0 ratings,N/A,0
Pradeep Sen,Electrical & Comp. Engineering,3.2,16 ratings,50%,4
Shiv Chandrasekaran,Electrical & Comp. Engineering,4.5,13 ratings,100%,3.2
Kenneth Rose,Electrical & Comp. Engineering,4.4,8 ratings,80%,3.1
Mahnoosh Alizadeh,Electrical & Comp. Engineering,4.1,7 ratings,58%,2.1
Kamyar Parto,Electrical & Comp. Engineering,5.0,5 ratings,100%,3.6
Peng Li,Electrical & Comp. Engineering,2.5,4 ratings,50%,3.8
Reza Abdolee,Electrical & Comp. Engineering,0.0,0 ratings,N/A,0
John Greathouse,Engineering,4.8,134 ratings,99%,2.9
Hua Lee,Engineering,3.1,29 ratings,100%,3.4
Carl Meinhart,Engineering,4.6,21 ratings,100%,3.5
Brad Paden,Engineering,3.2,12 ratings,0%,3
Ram Seshadri,Engineering,4.1,10 ratings,80%,2.4
Bassam Bamieh,Engineering,3.3,8 ratings,60%,3.1
Andrew Teel,Engineering,4.3,6 ratings,100%,3.8
Umesh Mishra,Engineering,4.4,6 ratings,100%,4.3
Omar Saleh,Engineering,4.6,4 ratings,100%,2.3
Paulo Luzatto Fegiz,Engineering,4.8,2 ratings,100%,2.5
George Odette,Engineering,2.0,1 ratings,N/A,3
Dave Bothman,Engineering,0.0,0 ratings,N/A,0
Ted Bennett,Engineering,3.1,24 ratings,34%,4.7
Malgorzata Marek-Sadowska,Engineering,2.3,18 ratings,0%,3.6
Steve Denbaars,Engineering,3.8,15 ratings,100%,3.3
Susannah Scott,Engineering,4.7,14 ratings,N/A,2.6
Linda Petzold,Engineering,2.0,12 ratings,15%,3.4
Suzanne Stemmer,Engineering,1.9,10 ratings,0%,3.5
Kaustav Banerjee,Engineering,2.0,9 ratings,100%,4.5
Tom Soh,Engineering,4.2,7 ratings,N/A,2.7
Nadir Dagli,Engineering,4.7,7 ratings,100%,4.6
Samira Pakravan,Engineering,3.3,6 ratings,67%,3
Spencer Smith,Engineering,3.4,5 ratings,80%,3
Eric Matthys,Engineering,1.9,48 ratings,100%,4.6
Bob York,Engineering,4.6,20 ratings,N/A,2.9
Rakesh Lal,Engineering,1.9,16 ratings,N/A,3.9
Lina Kim,Engineering,2.3,15 ratings,30%,3.1
Li-C Wang,Engineering,4.3,8 ratings,100%,1.8
Roy Smith,Engineering,3.6,7 ratings,N/A,3.9
Theodore Shugar,Engineering,4.0,6 ratings,N/A,3.2
